TST_SpeedDem;TST_CellPresDemand;TST_InterPresDemand;TST_InterBPDemand_DE;TST_InterBPDemand_NDE;TST_GasInjectionDemand;TST_StepDuration;TST_APFlag;TST_TempDemand;TST_GasType;TST_TestMode;TST_MeasurementReq;TST_TorqueCheck
0;0.21;0;0;0;0;2;0;30;Air;1;1;0
0;0.4;0;0;0;0;2;0;30;Air;1;1;0
0;1;0;0;0;0;2;0;30;Air;1;1;0
0;10;0;0;0;0;2;0;30;Air;1;1;0
0;20;0;0;0;0;2;0;30;Air;1;1;0
0;30;0;0;0;0;2;0;30;Air;1;1;0
0;40;0;0;0;0;2;0;30;Air;1;1;0
0;30;0;0;0;0;2;0;30;Air;1;1;0
0;20;0;0;0;0;2;0;30;Air;1;1;0
0;10;0;0;0;0;2;0;30;Air;1;1;0
0;1;0;0;0;0;2;0;155;Air;1;1;0
0;0.4;0;0;0;0;2;0;155;Air;1;1;0
0;8;0;0.2;0.2;0;2;0;155;Air;1;1;0
0;8;0;0.4;0.4;0;2;0;155;Air;1;1;0
0;8;0;1;1;0;2;0;155;Air;1;1;0
0;17;10;0;0;0;2;0;155;Air;2;1;0
0;27;20;0;0;0;2;0;155;Air;2;1;0
0;55;30;0;0;0;2;0;155;Air;2;1;0
0;65;40;0;0;0;2;0;30;Air;2;1;0
0;55;30;0;0;0;2;0;30;Air;2;1;0
0;27;20;0;0;0;2;0;30;Air;2;1;0
0;17;10;0;0;0;2;0;30;Air;2;1;0
0;8;0;1;1;0;2;0;30;Air;1;1;0
0;8;0;0.4;0.4;0;2;0;30;Air;1;1;0
0;10;0;0.2;0.2;0;2;0;30;Air;1;1;0
0;10;0;0.4;0.4;0;2;0;30;Air;1;1;0
0;10;0;1;1;0;2;0;30;Air;1;1;0
0;10;0;2;2;0;2;0;30;Air;1;1;0
0;10;0;3;3;0;2;0;155;Air;1;1;0
0;10;0;4;4;0;2;0;155;Air;1;1;0
0;10;0;5;5;0;2;0;155;Air;1;1;0
0;10;0;6;6;0;2;0;155;Air;1;1;0
0;10;0;7;7;0;2;0;155;Air;1;1;0
0;40;0;0;0;0;10;1;155;Air;2;1;0
0;10;0;1;1;0;2;0;155;Air;1;1;0
0;0.8;0;0.4;0.4;0;2;0;155;Air;1;1;0
0;0;0;0;0;0;2;0;155;Air;1;1;0
0;0.8;0;0.4;0.4;0;2;0;155;Air;1;1;0
0;0;0;0;0;0;1;0;155;Air;1;1;0
0;10;0;0.4;0.4;0;2;0;155;Air;1;1;0
0;10;0;1;1;0;2;0;155;Air;1;1;0
0;0;0;0;0;0;1;0;155;Air;1;1;0
0;0.5;0;0;0;0;2;0;155;Air;1;1;0
3600;0.5;0;0;0;0;2;0;155;Air;1;1;0
3600;5;0;0;0;0;10;1;155;Air;1;1;0
3600;10;0;0;0;0;2;0;155;Air;1;1;0
3600;20;0;0;0;0;2;0;155;Air;1;1;0
3600;30;0;0;0;0;2;0;155;Air;1;1;0
3600;40;0;0;0;0;2;0;155;Air;1;1;0
3600;30;0;0;0;0;2;0;155;Air;1;1;0
3600;20;0;0;0;0;2;0;155;Air;1;1;0
3600;10;0;0;0;0;2;0;155;Air;1;1;0
0;10;0;0;0;0;1;0;155;Air;1;1;0
0;0;0;0;0;0;1;0;155;Air;1;1;0
0;8;0;1;1;0;2;0;155;Air;1;1;0
0;0.5;0;0;0;0;0;0;155;Air;1;0;0
3600;0.5;0;0;0;0;0;0;155;Air;1;0;0
3600;8;0;1;1;0;2;0;155;Air;1;1;0
3600;0.5;0.21;0;0;0;0;0;155;Air;2;0;0
3600;17;10;0;0;0;10;1;155;Air;2;1;0
3600;27;20;0;0;0;2;0;155;Air;2;1;0
3600;55;30;0;0;0;2;0;155;Air;2;1;0
3600;65;40;0;0;0;2;0;155;Air;2;1;0
3600;55;30;0;0;0;2;0;155;Air;2;1;0
3600;27;20;0;0;0;2;0;155;Air;2;1;0
3600;17;10;0;0;0;2;0;155;Air;2;1;0
3600;9;2;0;0;0;2;0;155;Air;2;1;0
0;9;2;0;0;0;2;0;155;Air;2;1;0
0;0;0;0;0;0;2;0;155;Air;1;1;0
0;8;0;1;1;0;2;0;155;Air;1;1;0
0;0.5;0;0;0;0;0;0;155;Air;1;0;0
3600;0.5;0;0;0;0;0;0;155;Air;1;0;0
3600;8;0;1;1;0;2;0;155;Air;1;1;0
3600;5;0;1;1;0;2;0;155;Air;1;1;0
3600;5;0;0.4;0.4;0;2;0;155;Air;1;1;0
3600;2.5;0;0.4;0.4;0;2;0;155;Air;1;1;0
3600;1;0;0.4;0.4;0;2;0;155;Air;1;1;0
3600;0.8;0;0.4;0.4;0.4;5;1;155;Air;1;1;0
3600;10;0;0.4;0.4;0;2;0;155;Air;1;1;0
3600;40;0;0.4;0.4;0;2;0;155;Air;1;1;0
3600;10;0;0.4;0.4;0;2;0;155;Air;1;1;0
0;10;0;0.4;0.4;0;2;0;155;Air;1;1;0
0;0;0;0;0;0;2;0;155;Air;1;1;0
